data_date_part;count(1);WeekDay
2021-02-26;6109;Friday
2021-02-25;811;Thursday
2021-02-24;908;Wednesday
2021-02-23;1056;Tuesday
2021-02-22;1090;Monday
2021-02-19;2971;Friday
2021-02-18;950;Thursday
2021-02-17;917;Wednesday
2021-02-16;1049;Tuesday
2021-02-15;1157;Monday
2021-02-12;30520;Friday
2021-02-11;929;Thursday
2021-02-10;932;Wednesday
2021-02-09;921;Tuesday
2021-02-08;944;Monday
2021-02-05;3810;Friday
2021-02-04;959;Thursday
2021-02-03;1003;Wednesday
2021-02-02;934;Tuesday
2021-02-01;844;Monday
2021-01-29;501;Friday
2021-01-28;3831;Thursday
2021-01-27;1076;Wednesday
2021-01-26;1059;Tuesday
2021-01-25;838;Monday
2021-01-22;3013;Friday
2021-01-21;1065;Thursday
2021-01-20;1116;Wednesday
2021-01-19;1031;Tuesday
2021-01-18;971;Monday
2021-01-15;3124;Friday
2021-01-14;1089;Thursday
2021-01-13;1188;Wednesday
2021-01-12;29199;Tuesday
2021-01-11;932;Monday
2021-01-08;2777;Friday
2021-01-07;2406;Thursday
2021-01-05;1910;Tuesday
2021-01-04;3614;Monday
2020-12-31;45;Thursday
2020-12-30;118;Wednesday
2020-12-29;480;Tuesday
2020-12-28;3864;Monday
2020-12-24;3798;Thursday
2020-12-23;1106;Wednesday
2020-12-22;1118;Tuesday
2020-12-21;1064;Monday
2020-12-18;3068;Friday
2020-12-17;978;Thursday
2020-12-16;1096;Wednesday
2020-12-15;1301;Tuesday
2020-12-14;1719;Monday
2020-12-11;31997;Friday
2020-12-10;1017;Thursday
2020-12-09;1000;Wednesday
2020-12-07;3041;Monday
2020-12-04;2955;Friday
2020-12-03;1080;Thursday
2020-12-02;1062;Wednesday
2020-12-01;892;Tuesday
2020-11-30;141;Monday
2020-11-27;5534;Friday
2020-11-26;1142;Thursday
2020-11-25;893;Wednesday
2020-11-24;992;Tuesday
2020-11-23;1164;Monday
2020-11-20;3321;Friday
2020-11-19;1127;Thursday
2020-11-18;1358;Wednesday
2020-11-17;1026;Tuesday
2020-11-16;1131;Monday
2020-11-13;3378;Friday
2020-11-12;30855;Thursday
2020-11-11;1042;Wednesday
2020-11-10;1020;Tuesday
2020-11-09;1042;Monday
2020-11-06;4185;Friday
2020-11-05;1119;Thursday
2020-11-04;1003;Wednesday
2020-11-03;1036;Tuesday
2020-11-02;1821;Monday
2020-10-30;107;Friday
2020-10-29;421;Thursday
2020-10-28;4132;Wednesday
2020-10-27;1150;Tuesday
2020-10-26;1085;Monday
2020-10-23;2903;Friday
2020-10-22;1147;Thursday
2020-10-21;1094;Wednesday
2020-10-20;1146;Tuesday
2020-10-19;1102;Monday
2020-10-16;3067;Friday
2020-10-15;1271;Thursday
2020-10-14;1119;Wednesday
2020-10-13;1140;Tuesday
2020-10-09;34035;Friday
2020-10-08;1012;Thursday
2020-10-07;2186;Wednesday
2020-10-06;1043;Tuesday
2020-10-05;1138;Monday
2020-10-02;3021;Friday
2020-10-01;924;Thursday
2020-09-30;144;Wednesday
2020-09-29;479;Tuesday
2020-09-28;4165;Monday
2020-09-25;3115;Friday
2020-09-24;1019;Thursday
2020-09-23;1140;Wednesday
2020-09-22;1197;Tuesday
2020-09-21;1104;Monday
2020-09-18;3293;Friday
2020-09-17;1018;Thursday
2020-09-16;1146;Wednesday
2020-09-15;1315;Tuesday
2020-09-14;1126;Monday
2020-09-11;33751;Friday
2020-09-10;1010;Thursday
2020-09-09;1036;Wednesday
2020-09-08;1023;Tuesday
2020-09-07;2192;Monday
2020-09-04;3057;Friday
2020-09-03;1092;Thursday
2020-09-02;1014;Wednesday
2020-09-01;882;Tuesday
2020-08-31;23;Monday
2020-08-28;4663;Friday
2020-08-27;1169;Thursday
2020-08-26;1112;Wednesday
2020-08-25;872;Tuesday
2020-08-24;979;Monday
2020-08-21;3353;Friday
2020-08-20;1175;Thursday
2020-08-19;1114;Wednesday
2020-08-18;1015;Tuesday
2020-08-17;989;Monday
2020-08-14;3529;Friday
2020-08-13;1066;Thursday
2020-08-12;32007;Wednesday
2020-08-11;1006;Tuesday
2020-08-10;1012;Monday
2020-08-07;4200;Friday
2020-08-06;1023;Thursday
2020-08-05;1086;Wednesday
2020-08-04;998;Tuesday
2020-08-03;2921;Monday
2020-07-31;34;Friday
2020-07-30;64;Thursday
2020-07-29;411;Wednesday
2020-07-28;4293;Tuesday
2020-07-27;1187;Monday
2020-07-24;2963;Friday
2020-07-23;1127;Thursday
2020-07-22;1182;Wednesday
2020-07-21;1097;Tuesday
2020-07-20;1192;Monday
2020-07-17;3091;Friday
2020-07-16;1157;Thursday
2020-07-15;1307;Wednesday
2020-07-14;1360;Tuesday
2020-07-13;1047;Monday
2020-07-10;34340;Friday
2020-07-09;1030;Thursday
2020-07-08;1046;Wednesday
2020-07-07;2184;Tuesday
2020-07-06;1015;Monday
2020-07-03;3129;Friday
2020-07-02;1006;Thursday
2020-07-01;891;Wednesday
2020-06-30;57;Tuesday
2020-06-29;405;Monday
2020-06-26;6619;Friday
2020-06-25;924;Thursday
2020-06-24;969;Wednesday
2020-06-23;1123;Tuesday
2020-06-22;1221;Monday
2020-06-19;3383;Friday
2020-06-18;1038;Thursday
2020-06-17;1026;Wednesday
2020-06-16;1156;Tuesday
2020-06-15;1316;Monday
2020-06-12;34874;Friday
2020-06-11;1026;Thursday
2020-06-10;1025;Wednesday
2020-06-09;1008;Tuesday
2020-06-08;1034;Monday
2020-06-05;4318;Friday
2020-06-04;1011;Thursday
2020-06-03;1052;Wednesday
2020-06-02;1004;Tuesday
2020-06-01;899;Monday
2020-05-29;413;Friday
2020-05-28;4384;Thursday
2020-05-27;1186;Wednesday
2020-05-26;1133;Tuesday
2020-05-25;920;Monday
2020-05-22;3236;Friday
2020-05-21;1120;Thursday
2020-05-20;1227;Wednesday
2020-05-19;1112;Tuesday
2020-05-18;1024;Monday
2020-05-15;3428;Friday
2020-05-14;1131;Thursday
2020-05-13;1110;Wednesday
2020-05-12;32994;Tuesday
2020-05-11;998;Monday
2020-05-08;3013;Friday
2020-05-07;2229;Thursday
2020-05-06;1024;Wednesday
2020-05-05;1091;Tuesday
2020-05-04;3907;Monday
2020-04-30;29;Thursday
2020-04-29;421;Wednesday
2020-04-28;4324;Tuesday
2020-04-27;1184;Monday
2020-04-24;2974;Friday
2020-04-23;1111;Thursday
2020-04-22;1183;Wednesday
2020-04-21;1127;Tuesday
2020-04-20;1234;Monday
2020-04-17;3075;Friday
2020-04-16;1140;Thursday
2020-04-15;1306;Wednesday
2020-04-14;1132;Tuesday
2020-04-13;1131;Monday
2020-04-09;36131;Thursday
2020-04-08;999;Wednesday
2020-04-07;2222;Tuesday
2020-04-06;1011;Monday
2020-04-03;3113;Friday
2020-04-02;997;Thursday
2020-04-01;879;Wednesday
2020-03-31;20;Tuesday
2020-03-30;16;Monday
2020-03-27;5906;Friday
2020-03-26;1121;Thursday
2020-03-25;887;Wednesday
2020-03-24;959;Tuesday
2020-03-23;1104;Monday
2020-03-20;3476;Friday
2020-03-19;1100;Thursday
2020-03-18;1033;Wednesday
