date;vals
2021-06-25;104709
2021-06-24;108477
2021-06-23;106530
2021-06-22;198856
2021-06-21;355505
2021-06-18;187418
2021-06-17;254107
2021-06-16;181466
2021-06-15;945783
2021-06-14;151491
2021-06-11;98673
2021-06-10;103437
2021-06-09;94823
2021-06-08;199087
2021-06-07;456907
2021-06-04;241608
2021-06-03;222608
2021-06-02;313791
2021-06-01;42789500
2021-05-31;76406
2021-05-28;70512
2021-05-27;81396
2021-05-26;244179
2021-05-25;188743
2021-05-24;428606
2021-05-21;128471
2021-05-20;72717
2021-05-19;83138
2021-05-18;189752
2021-05-17;112051
2021-05-14;115337
2021-05-13;116663
2021-05-12;107705
2021-05-11;231246
2021-05-10;543140
2021-05-07;220749
2021-05-06;170659
2021-05-05;231941
2021-05-04;384350
2021-05-03;42666845
2021-04-30;69517
2021-04-29;87937
2021-04-28;280499
2021-04-27;188790
2021-04-26;410900
2021-04-23;154584
2021-04-22;86231
2021-04-21;95019
2021-04-20;108099
2021-04-19;137008
2021-04-16;136024
2021-04-15;120715
2021-04-14;123744
2021-04-13;208060
2021-04-12;494404
2021-04-09;187666
2021-04-08;195918
2021-04-07;286672
2021-04-06;745662
2021-04-05;768103
2021-04-01;41840279
2021-03-31;59815
2021-03-30;196231
2021-03-29;414804
2021-03-26;105994
2021-03-25;75392
2021-03-24;74483
2021-03-23;72671
2021-03-22;125576
2021-03-19;129961
2021-03-18;175757
2021-03-17;351125
2021-03-16;536270
2021-03-15;441688
2021-03-12;150336
2021-03-11;102590
2021-03-10;120984
2021-03-09;135482
2021-03-08;273133
2021-03-05;210046
2021-03-04;299505
2021-03-03;238354
2021-03-02;346096
2021-03-01;41819251
2021-02-26;160567
2021-02-25;167310
2021-02-24;134159
2021-02-23;649016
2021-02-22;642763
2021-02-19;435511
2021-02-18;603313
2021-02-17;91903
2021-02-16;95389
2021-02-15;1643485
2021-02-12;127498
2021-02-11;113372
2021-02-10;112935
2021-02-09;130157
2021-02-08;229842
2021-02-05;196339
2021-02-04;226128
2021-02-03;383679
2021-02-02;379336
